REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D1,MINCOAINT,1,2021,2665.511221168515
GLOBAL,S1D1,MINURNINT,1,2021,76.41596769983995
GLOBAL,S1D1,PWRBIOINDNO01,1,2021,0.8325929735999998
GLOBAL,S1D1,PWRBIOINDSO01,1,2021,9.495077897520002
GLOBAL,S1D1,PWRBIOINDWE01,1,2021,0.43388647920000006
GLOBAL,S1D1,PWRCOAINDEA01,2,2021,153.92412183782614
GLOBAL,S1D1,PWRCOAINDNE01,2,2021,5.863330800000001
GLOBAL,S1D1,PWRCOAINDNO01,2,2021,198.8770980389937
GLOBAL,S1D1,PWRCOAINDSO01,2,2021,275.6648959087832
GLOBAL,S1D1,PWRCOAINDWE01,2,2021,274.8551998085254
GLOBAL,S1D1,PWRCSPINDNO01,1,2021,1.8662454236628
GLOBAL,S1D1,PWRCSPINDSO01,1,2021,0.47688423840000005
GLOBAL,S1D1,PWRHYDINDEA01,1,2021,9.2296097322192
GLOBAL,S1D1,PWRHYDINDNE01,1,2021,2.4522623479710894
GLOBAL,S1D1,PWRHYDINDNO01,1,2021,58.54215900471552
GLOBAL,S1D1,PWRHYDINDSO01,1,2021,18.622454593910398
GLOBAL,S1D1,PWRHYDINDWE01,1,2021,9.558327601303201
GLOBAL,S1D1,PWRSPVINDEA01,1,2021,0.3539570003766925
GLOBAL,S1D1,PWRSPVINDNE01,1,2021,0.04939951976117729
GLOBAL,S1D1,PWRSPVINDNO01,1,2021,20.167967310194992
GLOBAL,S1D1,PWRSPVINDSO01,1,2021,26.114390643669797
GLOBAL,S1D1,PWRSPVINDWE01,1,2021,13.75146281438604
GLOBAL,S1D1,PWRTRNINDEA,1,2021,163.51424708364428
GLOBAL,S1D1,PWRTRNINDNE,1,2021,28.6212
GLOBAL,S1D1,PWRTRNINDNO,1,2021,288.3144
GLOBAL,S1D1,PWRTRNINDSO,1,2021,355.0775
GLOBAL,S1D1,PWRTRNINDWE,1,2021,317.5375
GLOBAL,S1D1,PWRURNINDNO01,2,2021,7.089545088
GLOBAL,S1D1,PWRURNINDSO01,2,2021,15.48505900799999
GLOBAL,S1D1,PWRURNINDWE01,2,2021,11.847002975999995
GLOBAL,S1D1,PWRWONINDEA01,1,2021,0.006558513222239992
GLOBAL,S1D1,PWRWONINDNO01,1,2021,0.938792160832941
GLOBAL,S1D1,PWRWONINDSO01,1,2021,9.218737709716608
GLOBAL,S1D1,PWRWONINDWE01,1,2021,7.091620320585367
GLOBAL,S1D1,RNWBIOINDNO,1,2021,2.789186461559999
GLOBAL,S1D1,RNWBIOINDSO,1,2021,35.03683744184881
GLOBAL,S1D1,RNWBIOINDWE,1,2021,1.6270742970000003
GLOBAL,S1D1,RNWCSPINDNO,1,2021,1.8662454236628
GLOBAL,S1D1,RNWCSPINDSO,1,2021,0.47688423840000005
GLOBAL,S1D1,RNWHYDINDEA,1,2021,9.2296097322192
GLOBAL,S1D1,RNWHYDINDNE,1,2021,2.4522623479710894
GLOBAL,S1D1,RNWHYDINDNO,1,2021,58.54215900471552
GLOBAL,S1D1,RNWHYDINDSO,1,2021,18.622454593910398
GLOBAL,S1D1,RNWHYDINDWE,1,2021,9.558327601303201
GLOBAL,S1D1,RNWSPVINDEA,1,2021,0.3539570003766925
GLOBAL,S1D1,RNWSPVINDNE,1,2021,0.04939951976117729
GLOBAL,S1D1,RNWSPVINDNO,1,2021,20.167967310194992
GLOBAL,S1D1,RNWSPVINDSO,1,2021,26.114390643669797
GLOBAL,S1D1,RNWSPVINDWE,1,2021,13.75146281438604
GLOBAL,S1D1,RNWWONINDEA,1,2021,0.006558513222239992
GLOBAL,S1D1,RNWWONINDNO,1,2021,0.938792160832941
GLOBAL,S1D1,RNWWONINDSO,1,2021,9.218737709716608
GLOBAL,S1D1,RNWWONINDWE,1,2021,7.091620320585367
GLOBAL,S1D1,TRNINDEAINDNE,1,2021,20.92064708364428
GLOBAL,S1D1,MINCOAINT,1,2022,2961.647400603402
GLOBAL,S1D1,MINURNINT,1,2022,88.84132830143997
GLOBAL,S1D1,PWRBIOINDNO01,1,2022,0.8325929735999998
GLOBAL,S1D1,PWRBIOINDSO01,1,2022,9.495077897520002
GLOBAL,S1D1,PWRBIOINDWE01,1,2022,0.43388647920000006
GLOBAL,S1D1,PWRCOAINDEA01,2,2022,170.13910953818188
GLOBAL,S1D1,PWRCOAINDNE01,2,2022,5.014634461245073
GLOBAL,S1D1,PWRCOAINDNO01,2,2022,236.94458093502857
GLOBAL,S1D1,PWRCOAINDSO01,2,2022,304.5422289296854
GLOBAL,S1D1,PWRCOAINDWE01,2,2022,293.52859200935194
GLOBAL,S1D1,PWRCSPINDNO01,1,2022,1.8662454236628
GLOBAL,S1D1,PWRCSPINDSO01,1,2022,0.47688423840000005
GLOBAL,S1D1,PWRHYDINDEA01,1,2022,9.2296097322192
GLOBAL,S1D1,PWRHYDINDNE01,1,2022,4.087443603741121
GLOBAL,S1D1,PWRHYDINDNO01,1,2022,46.22926524496154
GLOBAL,S1D1,PWRHYDINDSO01,1,2022,18.622454593910398
GLOBAL,S1D1,PWRHYDINDWE01,1,2022,9.558327601303201
GLOBAL,S1D1,PWRSPVINDEA01,1,2022,0.3539570003766925
GLOBAL,S1D1,PWRSPVINDNE01,1,2022,0.25780374375364407
GLOBAL,S1D1,PWRSPVINDNO01,1,2022,25.772531531238176
GLOBAL,S1D1,PWRSPVINDSO01,1,2022,27.04997042276768
GLOBAL,S1D1,PWRSPVINDWE01,1,2022,14.822332058512016
GLOBAL,S1D1,PWRTRNINDEA,1,2022,179.729234784
GLOBAL,S1D1,PWRTRNINDNE,1,2022,31.0086
GLOBAL,S1D1,PWRTRNINDNO,1,2022,322.9968
GLOBAL,S1D1,PWRTRNINDSO,1,2022,387.2225
GLOBAL,S1D1,PWRTRNINDWE,1,2022,337.4625
GLOBAL,S1D1,PWRURNINDNO01,2,2022,10.354467167999989
GLOBAL,S1D1,PWRURNINDSO01,2,2022,17.817146208000008
GLOBAL,S1D1,PWRURNINDWE01,2,2022,11.847002975999999
GLOBAL,S1D1,PWRWONINDEA01,1,2022,0.006558513222239992
GLOBAL,S1D1,PWRWONINDNO01,1,2022,0.9971167235089403
GLOBAL,S1D1,PWRWONINDSO01,1,2022,9.218737709716608
GLOBAL,S1D1,PWRWONINDWE01,1,2022,7.272358875632832
GLOBAL,S1D1,RNWBIOINDNO,1,2022,2.789186461559999
GLOBAL,S1D1,RNWBIOINDSO,1,2022,35.03683744184881
GLOBAL,S1D1,RNWBIOINDWE,1,2022,1.6270742970000003
GLOBAL,S1D1,RNWCSPINDNO,1,2022,1.8662454236628
GLOBAL,S1D1,RNWCSPINDSO,1,2022,0.47688423840000005
GLOBAL,S1D1,RNWHYDINDEA,1,2022,9.2296097322192
GLOBAL,S1D1,RNWHYDINDNE,1,2022,4.087443603741121
GLOBAL,S1D1,RNWHYDINDNO,1,2022,46.22926524496154
GLOBAL,S1D1,RNWHYDINDSO,1,2022,18.622454593910398
GLOBAL,S1D1,RNWHYDINDWE,1,2022,9.558327601303201
GLOBAL,S1D1,RNWSPVINDEA,1,2022,0.3539570003766925
GLOBAL,S1D1,RNWSPVINDNE,1,2022,0.25780374375364407
GLOBAL,S1D1,RNWSPVINDNO,1,2022,25.772531531238176
GLOBAL,S1D1,RNWSPVINDSO,1,2022,27.04997042276768
GLOBAL,S1D1,RNWSPVINDWE,1,2022,14.822332058512016
GLOBAL,S1D1,RNWWONINDEA,1,2022,0.006558513222239992
GLOBAL,S1D1,RNWWONINDNO,1,2022,0.9971167235089403
GLOBAL,S1D1,RNWWONINDSO,1,2022,9.218737709716608
GLOBAL,S1D1,RNWWONINDWE,1,2022,7.272358875632832
GLOBAL,S1D1,TRNINDEAINDNE,1,2022,22.358834784
GLOBAL,S1D1,MINCOAINT,1,2023,3018.2557510350166
GLOBAL,S1D1,MINURNINT,1,2023,195.76957941504003
GLOBAL,S1D1,PWRBIOINDNO01,1,2023,0.8325929736000002
GLOBAL,S1D1,PWRBIOINDSO01,1,2023,9.495077897520002
GLOBAL,S1D1,PWRBIOINDWE01,1,2023,0.43388647920000006
GLOBAL,S1D1,PWRCOAINDEA01,2,2023,181.58955121785237
GLOBAL,S1D1,PWRCOAINDNE01,2,2023,5.863330800000001
GLOBAL,S1D1,PWRCOAINDNO01,2,2023,237.38917674035406
GLOBAL,S1D1,PWRCOAINDSO01,2,2023,307.3991399445685
GLOBAL,S1D1,PWRCOAINDWE01,2,2023,297.3148202043674
GLOBAL,S1D1,PWRCSPINDNO01,1,2023,1.8662454236628
GLOBAL,S1D1,PWRCSPINDSO01,1,2023,0.47688423840000005
GLOBAL,S1D1,PWRHYDINDEA01,1,2023,9.2296097322192
GLOBAL,S1D1,PWRHYDINDNE01,1,2023,8.83752332918112
GLOBAL,S1D1,PWRHYDINDNO01,1,2023,66.34442919452543
GLOBAL,S1D1,PWRHYDINDSO01,1,2023,19.4527022351904
GLOBAL,S1D1,PWRHYDINDWE01,1,2023,9.558327601303201
GLOBAL,S1D1,PWRSPVINDEA01,1,2023,0.3539570003766925
GLOBAL,S1D1,PWRSPVINDNE01,1,2023,0.25780374375364407
GLOBAL,S1D1,PWRSPVINDNO01,1,2023,25.772531531238176
GLOBAL,S1D1,PWRSPVINDSO01,1,2023,27.04997042276768
GLOBAL,S1D1,PWRSPVINDWE01,1,2023,15.00468374949842
GLOBAL,S1D1,PWRTRNINDEA,1,2023,191.18454440951135
GLOBAL,S1D1,PWRTRNINDNE,1,2023,33.3937
GLOBAL,S1D1,PWRTRNINDNO,1,2023,357.6792
GLOBAL,S1D1,PWRTRNINDSO,1,2023,419.36999999999995
GLOBAL,S1D1,PWRTRNINDWE,1,2023,357.39
GLOBAL,S1D1,PWRURNINDNO01,2,2023,22.827901248000003
GLOBAL,S1D1,PWRURNINDSO01,2,2023,45.499447008000004
GLOBAL,S1D1,PWRURNINDWE01,2,2023,19.857146976
GLOBAL,S1D1,PWRWONINDEA01,1,2023,0.01142645906304
GLOBAL,S1D1,PWRWONINDNO01,1,2023,2.6463228886195203
GLOBAL,S1D1,PWRWONINDSO01,1,2023,9.996778253553408
GLOBAL,S1D1,PWRWONINDWE01,1,2023,15.22113498963101
GLOBAL,S1D1,RNWBIOINDNO,1,2023,2.7891864615600004
GLOBAL,S1D1,RNWBIOINDSO,1,2023,35.03683744184881
GLOBAL,S1D1,RNWBIOINDWE,1,2023,1.6270742970000003
GLOBAL,S1D1,RNWCSPINDNO,1,2023,1.8662454236628
GLOBAL,S1D1,RNWCSPINDSO,1,2023,0.47688423840000005
GLOBAL,S1D1,RNWHYDINDEA,1,2023,9.2296097322192
GLOBAL,S1D1,RNWHYDINDNE,1,2023,8.83752332918112
GLOBAL,S1D1,RNWHYDINDNO,1,2023,66.34442919452543
GLOBAL,S1D1,RNWHYDINDSO,1,2023,19.4527022351904
GLOBAL,S1D1,RNWHYDINDWE,1,2023,9.558327601303201
GLOBAL,S1D1,RNWSPVINDEA,1,2023,0.3539570003766925
GLOBAL,S1D1,RNWSPVINDNE,1,2023,0.25780374375364407
GLOBAL,S1D1,RNWSPVINDNO,1,2023,25.772531531238176
GLOBAL,S1D1,RNWSPVINDSO,1,2023,27.04997042276768
GLOBAL,S1D1,RNWSPVINDWE,1,2023,15.00468374949842
GLOBAL,S1D1,RNWWONINDEA,1,2023,0.01142645906304
GLOBAL,S1D1,RNWWONINDNO,1,2023,2.6463228886195203
GLOBAL,S1D1,RNWWONINDSO,1,2023,9.996778253553408
GLOBAL,S1D1,RNWWONINDWE,1,2023,15.22113498963101
GLOBAL,S1D1,TRNINDEAINDNE,1,2023,19.039744409511318
GLOBAL,S1D1,MINCOAINT,1,2024,1158.6876736771715
GLOBAL,S1D1,MINURNINT,1,2024,207.91840083264003
GLOBAL,S1D1,PWRBIOINDNO01,1,2024,0.8325929736000002
GLOBAL,S1D1,PWRBIOINDSO01,1,2024,9.495077897520002
GLOBAL,S1D1,PWRBIOINDWE01,1,2024,0.43388647920000006
GLOBAL,S1D1,PWRCOAINDEA01,2,2024,68.66822745089756
GLOBAL,S1D1,PWRCOAINDNO01,2,2024,14.462093129382934
GLOBAL,S1D1,PWRCOAINDSO01,2,2024,213.64563134347765
GLOBAL,S1D1,PWRCOAINDWE01,2,2024,98.76288372730752
GLOBAL,S1D1,PWRCSPINDNO01,1,2024,1.8662454236628
GLOBAL,S1D1,PWRCSPINDSO01,1,2024,0.47688423840000005
GLOBAL,S1D1,PWRHYDINDEA01,1,2024,10.2547544892912
GLOBAL,S1D1,PWRHYDINDNE01,1,2024,7.0177383811946825
GLOBAL,S1D1,PWRHYDINDNO01,1,2024,51.651377148692426
GLOBAL,S1D1,PWRHYDINDSO01,1,2024,19.4527022351904
GLOBAL,S1D1,PWRHYDINDWE01,1,2024,9.558327601303201
GLOBAL,S1D1,PWRSPVINDEA01,1,2024,79.8341205465005
GLOBAL,S1D1,PWRSPVINDNE01,1,2024,0.25780374375364407
GLOBAL,S1D1,PWRSPVINDNO01,1,2024,271.17185350259285
GLOBAL,S1D1,PWRSPVINDSO01,1,2024,156.57080056168425
GLOBAL,S1D1,PWRSPVINDWE01,1,2024,245.22726914317852
GLOBAL,S1D1,PWRTRNINDEA,1,2024,185.4888
GLOBAL,S1D1,PWRTRNINDNE,1,2024,87.180766832
GLOBAL,S1D1,PWRTRNINDNO,1,2024,385.7568
GLOBAL,S1D1,PWRTRNINDSO,1,2024,454.8925
GLOBAL,S1D1,PWRTRNINDWE,1,2024,386.68
GLOBAL,S1D1,PWRURNINDNO01,2,2024,22.827901248000007
GLOBAL,S1D1,PWRURNINDSO01,2,2024,45.499447008000004
GLOBAL,S1D1,PWRURNINDWE01,2,2024,25.329589056000003
GLOBAL,S1D1,PWRWOFINDNE01,1,2024,79.90522470705167
GLOBAL,S1D1,PWRWONINDEA01,1,2024,0.01142645906304
GLOBAL,S1D1,PWRWONINDNO01,1,2024,0.9971167235089403
GLOBAL,S1D1,PWRWONINDSO01,1,2024,9.751956715727701
GLOBAL,S1D1,PWRWONINDWE01,1,2024,7.368043993010836
GLOBAL,S1D1,RNWBIOINDNO,1,2024,2.7891864615600004
GLOBAL,S1D1,RNWBIOINDSO,1,2024,35.03683744184881
GLOBAL,S1D1,RNWBIOINDWE,1,2024,1.6270742970000003
GLOBAL,S1D1,RNWCSPINDNO,1,2024,1.8662454236628
GLOBAL,S1D1,RNWCSPINDSO,1,2024,0.47688423840000005
GLOBAL,S1D1,RNWHYDINDEA,1,2024,10.2547544892912
GLOBAL,S1D1,RNWHYDINDNE,1,2024,7.0177383811946825
GLOBAL,S1D1,RNWHYDINDNO,1,2024,51.651377148692426
GLOBAL,S1D1,RNWHYDINDSO,1,2024,19.4527022351904
GLOBAL,S1D1,RNWHYDINDWE,1,2024,9.558327601303201
GLOBAL,S1D1,RNWSPVINDEA,1,2024,79.8341205465005
GLOBAL,S1D1,RNWSPVINDNE,1,2024,0.25780374375364407
GLOBAL,S1D1,RNWSPVINDNO,1,2024,271.17185350259285
GLOBAL,S1D1,RNWSPVINDSO,1,2024,156.57080056168425
GLOBAL,S1D1,RNWSPVINDWE,1,2024,245.22726914317852
GLOBAL,S1D1,RNWWOFINDNE,1,2024,79.90522470705167
GLOBAL,S1D1,RNWWONINDEA,1,2024,0.01142645906304
GLOBAL,S1D1,RNWWONINDNO,1,2024,0.9971167235089403
GLOBAL,S1D1,RNWWONINDSO,1,2024,9.751956715727701
GLOBAL,S1D1,RNWWONINDWE,1,2024,7.368043993010836
GLOBAL,S1D1,TRNINDEAINDNE,2,2024,27.596743632000003
GLOBAL,S1D1,TRNINDNEINDNO,1,2024,23.453323200000003
GLOBAL,S1D1,MINCOAINT,1,2025,229.5151637681562
GLOBAL,S1D1,MINURNINT,1,2025,185.3941652770973
GLOBAL,S1D1,PWRBIOINDSO01,1,2025,8.782103348810793
GLOBAL,S1D1,PWRCOAINDSO01,2,2025,78.33282039868813
GLOBAL,S1D1,PWRCSPINDNO01,1,2025,1.8662454236628
GLOBAL,S1D1,PWRCSPINDSO01,1,2025,0.47688423840000005
GLOBAL,S1D1,PWRHYDINDEA01,1,2025,4.074810358836723
GLOBAL,S1D1,PWRHYDINDNE01,1,2025,5.818065932626672
GLOBAL,S1D1,PWRHYDINDNO01,1,2025,65.89040003894524
GLOBAL,S1D1,PWRHYDINDSO01,1,2025,19.4527022351904
GLOBAL,S1D1,PWRHYDINDWE01,1,2025,9.6685894914408
GLOBAL,S1D1,PWRSPVINDEA01,1,2025,159.3142840926243
GLOBAL,S1D1,PWRSPVINDNE01,1,2025,0.25780374375364407
GLOBAL,S1D1,PWRSPVINDNO01,1,2025,505.91997075311036
GLOBAL,S1D1,PWRSPVINDSO01,1,2025,285.9311538945807
GLOBAL,S1D1,PWRSPVINDWE01,1,2025,474.3771975310563
GLOBAL,S1D1,PWRTRNINDEA,1,2025,229.1064
GLOBAL,S1D1,PWRTRNINDNE,1,2025,95.932266832
GLOBAL,S1D1,PWRTRNINDNO,1,2025,610.1422021715655
GLOBAL,S1D1,PWRTRNINDSO,1,2025,565.475
GLOBAL,S1D1,PWRTRNINDWE,1,2025,603.6304114784867
GLOBAL,S1D1,PWRURNINDNO01,2,2025,13.619389248000004
GLOBAL,S1D1,PWRURNINDSO01,2,2025,45.499447008000004
GLOBAL,S1D1,PWRURNINDWE01,2,2025,24.392049003953726
GLOBAL,S1D1,PWRWOFINDNE01,1,2025,89.85639715561967
GLOBAL,S1D1,PWRWONINDEA01,1,2025,0.01142645906304
GLOBAL,S1D1,PWRWONINDNO01,1,2025,0.8985768572871802
GLOBAL,S1D1,PWRWONINDSO01,1,2025,9.751956715727701
GLOBAL,S1D1,PWRWONINDWE01,1,2025,7.368043993010836
GLOBAL,S1D1,RNWBIOINDSO,1,2025,32.40596135711182
GLOBAL,S1D1,RNWCSPINDNO,1,2025,1.8662454236628
GLOBAL,S1D1,RNWCSPINDSO,1,2025,0.47688423840000005
GLOBAL,S1D1,RNWHYDINDEA,1,2025,4.074810358836723
GLOBAL,S1D1,RNWHYDINDNE,1,2025,5.818065932626672
GLOBAL,S1D1,RNWHYDINDNO,1,2025,65.89040003894524
GLOBAL,S1D1,RNWHYDINDSO,1,2025,19.4527022351904
GLOBAL,S1D1,RNWHYDINDWE,1,2025,9.6685894914408
GLOBAL,S1D1,RNWSPVINDEA,1,2025,159.3142840926243
GLOBAL,S1D1,RNWSPVINDNE,1,2025,0.25780374375364407
GLOBAL,S1D1,RNWSPVINDNO,1,2025,505.91997075311036
GLOBAL,S1D1,RNWSPVINDSO,1,2025,285.9311538945807
GLOBAL,S1D1,RNWSPVINDWE,1,2025,474.3771975310563
GLOBAL,S1D1,RNWWOFINDNE,1,2025,89.85639715561967
GLOBAL,S1D1,RNWWONINDEA,1,2025,0.01142645906304
GLOBAL,S1D1,RNWWONINDNO,1,2025,0.8985768572871802
GLOBAL,S1D1,RNWWONINDSO,1,2025,9.751956715727701
GLOBAL,S1D1,RNWWONINDWE,1,2025,7.368043993010836
GLOBAL,S1D1,TRNINDEAINDNE,2,2025,27.596743632000003
GLOBAL,S1D1,TRNINDEAINDNO,2,2025,41.418532642658
GLOBAL,S1D1,TRNINDNEINDNO,1,2025,23.453323200000003
GLOBAL,S1D1,TRNINDNOINDWE,1,2025,92.7916695289075
GLOBAL,S1D1,TRNINDSOINDWE,2,2025,122.43041147848675
GLOBAL,S1D1,MINURNINT,1,2026,173.70680086603096
GLOBAL,S1D1,PWRCSPINDNO01,1,2026,1.8662454236628
GLOBAL,S1D1,PWRCSPINDSO01,1,2026,0.47688423840000005
GLOBAL,S1D1,PWRHYDINDEA01,1,2026,4.074810358836723
GLOBAL,S1D1,PWRHYDINDNE01,1,2026,5.608083843074475
GLOBAL,S1D1,PWRHYDINDNO01,1,2026,66.38304998270735
GLOBAL,S1D1,PWRHYDINDSO01,1,2026,19.4527022351904
GLOBAL,S1D1,PWRHYDINDWE01,1,2026,9.6685894914408
GLOBAL,S1D1,PWRSPVINDEA01,1,2026,159.3142840926243
GLOBAL,S1D1,PWRSPVINDNE01,1,2026,0.25780374375364407
GLOBAL,S1D1,PWRSPVINDNO01,1,2026,505.91997075311036
GLOBAL,S1D1,PWRSPVINDSO01,1,2026,415.29150722747715
GLOBAL,S1D1,PWRSPVINDWE01,1,2026,487.8899592731336
GLOBAL,S1D1,PWRTRNINDEA,1,2026,235.584
GLOBAL,S1D1,PWRTRNINDNE,1,2026,97.464066832
GLOBAL,S1D1,PWRTRNINDNO,1,2026,610.6348521153278
GLOBAL,S1D1,PWRTRNINDSO,1,2026,587.7225
GLOBAL,S1D1,PWRTRNINDWE,1,2026,596.3784109247453
GLOBAL,S1D1,PWRURNINDNO01,2,2026,13.619389248000004
GLOBAL,S1D1,PWRURNINDSO01,2,2026,48.50400545874459
GLOBAL,S1D1,PWRURNINDWE01,2,2026,16.122911989665752
GLOBAL,S1D1,PWRWOFINDNE01,1,2026,91.59817924517189
GLOBAL,S1D1,PWRWONINDEA01,1,2026,0.01142645906304
GLOBAL,S1D1,PWRWONINDNO01,1,2026,0.8985768572871802
GLOBAL,S1D1,PWRWONINDSO01,1,2026,7.942227474886757
GLOBAL,S1D1,PWRWONINDWE01,1,2026,15.22113498963101
GLOBAL,S1D1,RNWCSPINDNO,1,2026,1.8662454236628
GLOBAL,S1D1,RNWCSPINDSO,1,2026,0.47688423840000005
GLOBAL,S1D1,RNWHYDINDEA,1,2026,4.074810358836723
GLOBAL,S1D1,RNWHYDINDNE,1,2026,5.608083843074475
GLOBAL,S1D1,RNWHYDINDNO,1,2026,66.38304998270735
GLOBAL,S1D1,RNWHYDINDSO,1,2026,19.4527022351904
GLOBAL,S1D1,RNWHYDINDWE,1,2026,9.6685894914408
GLOBAL,S1D1,RNWSPVINDEA,1,2026,159.3142840926243
GLOBAL,S1D1,RNWSPVINDNE,1,2026,0.25780374375364407
GLOBAL,S1D1,RNWSPVINDNO,1,2026,505.91997075311036
GLOBAL,S1D1,RNWSPVINDSO,1,2026,415.29150722747715
GLOBAL,S1D1,RNWSPVINDWE,1,2026,487.8899592731336
GLOBAL,S1D1,RNWWOFINDNE,1,2026,91.59817924517189
GLOBAL,S1D1,RNWWONINDEA,1,2026,0.01142645906304
GLOBAL,S1D1,RNWWONINDNO,1,2026,0.8985768572871802
GLOBAL,S1D1,RNWWONINDSO,1,2026,7.942227474886757
GLOBAL,S1D1,RNWWONINDWE,1,2026,15.22113498963101
GLOBAL,S1D1,TRNINDEAINDNE,2,2026,27.596743632000003
GLOBAL,S1D1,TRNINDEAINDNO,2,2026,48.30037187942573
GLOBAL,S1D1,TRNINDNEINDNO,1,2026,23.453323200000003
GLOBAL,S1D1,TRNINDNOINDWE,1,2026,71.29208023590206
GLOBAL,S1D1,TRNINDSOINDWE,2,2026,100.30091092474527
GLOBAL,S1D1,MINURNINT,1,2027,252.85813594171486
GLOBAL,S1D1,PWRCSPINDNO01,1,2027,1.8662454236628
GLOBAL,S1D1,PWRCSPINDSO01,1,2027,0.47688423840000005
GLOBAL,S1D1,PWRHYDINDEA01,1,2027,4.074810358836723
GLOBAL,S1D1,PWRHYDINDNE01,1,2027,5.388958389262434
GLOBAL,S1D1,PWRHYDINDNO01,1,2027,57.17453798270743
GLOBAL,S1D1,PWRHYDINDSO01,1,2027,6.267099876333582
GLOBAL,S1D1,PWRHYDINDWE01,1,2027,9.6685894914408
GLOBAL,S1D1,PWRSPVINDEA01,1,2027,159.3142840926243
GLOBAL,S1D1,PWRSPVINDNE01,1,2027,0.25780374375364407
GLOBAL,S1D1,PWRSPVINDNO01,1,2027,505.91997075311036
GLOBAL,S1D1,PWRSPVINDSO01,1,2027,466.1263845934835
GLOBAL,S1D1,PWRSPVINDWE01,1,2027,487.8899592731336
GLOBAL,S1D1,PWRTRNINDEA,1,2027,242.9712
GLOBAL,S1D1,PWRTRNINDNE,1,2027,99.062566832
GLOBAL,S1D1,PWRTRNINDNO,1,2027,610.6348521153278
GLOBAL,S1D1,PWRTRNINDSO,1,2027,607.5225
GLOBAL,S1D1,PWRTRNINDWE,1,2027,573.7664659866933
GLOBAL,S1D1,PWRURNINDNO01,2,2027,22.827901248000003
GLOBAL,S1D1,PWRURNINDSO01,2,2027,67.51962385468386
GLOBAL,S1D1,PWRURNINDWE01,2,2027,23.552536132322842
GLOBAL,S1D1,PWRWOFINDNE01,1,2027,93.4158046989839
GLOBAL,S1D1,PWRWONINDEA01,1,2027,0.01142645906304
GLOBAL,S1D1,PWRWONINDNO01,1,2027,0.8985768572871802
GLOBAL,S1D1,PWRWONINDSO01,1,2027,7.865695555622152
GLOBAL,S1D1,PWRWONINDWE01,1,2027,7.368043993010836
GLOBAL,S1D1,RNWCSPINDNO,1,2027,1.8662454236628
GLOBAL,S1D1,RNWCSPINDSO,1,2027,0.47688423840000005
GLOBAL,S1D1,RNWHYDINDEA,1,2027,4.074810358836723
GLOBAL,S1D1,RNWHYDINDNE,1,2027,5.388958389262434
GLOBAL,S1D1,RNWHYDINDNO,1,2027,57.17453798270743
GLOBAL,S1D1,RNWHYDINDSO,1,2027,6.267099876333582
GLOBAL,S1D1,RNWHYDINDWE,1,2027,9.6685894914408
GLOBAL,S1D1,RNWSPVINDEA,1,2027,159.3142840926243
GLOBAL,S1D1,RNWSPVINDNE,1,2027,0.25780374375364407
GLOBAL,S1D1,RNWSPVINDNO,1,2027,505.91997075311036
GLOBAL,S1D1,RNWSPVINDSO,1,2027,466.1263845934835
GLOBAL,S1D1,RNWSPVINDWE,1,2027,487.8899592731336
GLOBAL,S1D1,RNWWOFINDNE,1,2027,93.4158046989839
GLOBAL,S1D1,RNWWONINDEA,1,2027,0.01142645906304
GLOBAL,S1D1,RNWWONINDNO,1,2027,0.8985768572871802
GLOBAL,S1D1,RNWWONINDSO,1,2027,7.865695555622152
GLOBAL,S1D1,RNWWONINDWE,1,2027,7.368043993010836
GLOBAL,S1D1,TRNINDEAINDNE,2,2027,27.596743632000003
GLOBAL,S1D1,TRNINDEAINDNO,2,2027,56.14857535136761
GLOBAL,S1D1,TRNINDNEINDNO,1,2027,23.453323200000003
GLOBAL,S1D1,TRNINDNOINDWE,1,2027,47.848676763960164
GLOBAL,S1D1,TRNINDSOINDWE,2,2027,61.88646598669334
GLOBAL,S1D1,MINURNINT,1,2028,215.7173348830622
GLOBAL,S1D1,PWRCSPINDNO01,1,2028,1.8662454236628
GLOBAL,S1D1,PWRCSPINDSO01,1,2028,0.47688423840000005
GLOBAL,S1D1,PWRHYDINDEA01,1,2028,4.074810358836723
GLOBAL,S1D1,PWRHYDINDNE01,1,2028,5.168887070182173
GLOBAL,S1D1,PWRHYDINDNO01,1,2028,68.60911315070757
GLOBAL,S1D1,PWRHYDINDSO01,1,2028,19.4527022351904
GLOBAL,S1D1,PWRHYDINDWE01,1,2028,9.2551074034248
GLOBAL,S1D1,PWRSPVINDEA01,1,2028,159.3142840926243
GLOBAL,S1D1,PWRSPVINDNE01,1,2028,0.25780374375364407
GLOBAL,S1D1,PWRSPVINDNO01,1,2028,505.91997075311036
GLOBAL,S1D1,PWRSPVINDSO01,1,2028,515.6930439932971
GLOBAL,S1D1,PWRSPVINDWE01,1,2028,487.8899592731336
GLOBAL,S1D1,PWRTRNINDEA,1,2028,250.37760000000003
GLOBAL,S1D1,PWRTRNINDNE,1,2028,100.66796683200002
GLOBAL,S1D1,PWRTRNINDNO,1,2028,619.3907594433279
GLOBAL,S1D1,PWRTRNINDSO,1,2028,627.235
GLOBAL,S1D1,PWRTRNINDWE,1,2028,561.2049130164297
GLOBAL,S1D1,PWRURNINDNO01,2,2028,20.149233407999997
