REGION,FUEL,TIMESLICE,YEAR,VALUE
GLOBAL,ELCTZAXX02,S1D3,2046,0.11
GLOBAL,ELCTZAXX02,S1D3,2047,0.11
GLOBAL,ELCTZAXX02,S1D3,2048,0.11
GLOBAL,ELCTZAXX02,S1D3,2049,0.11
GLOBAL,ELCTZAXX02,S1D3,2050,0.11
GLOBAL,ELCKENXX02,S2D1,2021,0.11
GLOBAL,ELCKENXX02,S2D1,2022,0.11
GLOBAL,ELCKENXX02,S2D1,2023,0.11
GLOBAL,ELCKENXX02,S2D1,2024,0.11
GLOBAL,ELCKENXX02,S2D1,2025,0.11
GLOBAL,ELCKENXX02,S2D1,2026,0.11
GLOBAL,ELCKENXX02,S2D1,2027,0.11
GLOBAL,ELCKENXX02,S2D1,2028,0.11
GLOBAL,ELCKENXX02,S2D1,2029,0.11
GLOBAL,ELCKENXX02,S2D1,2030,0.11
GLOBAL,ELCKENXX02,S2D1,2031,0.11
GLOBAL,ELCKENXX02,S2D1,2032,0.11
GLOBAL,ELCKENXX02,S2D1,2033,0.11
GLOBAL,ELCKENXX02,S2D1,2034,0.11
GLOBAL,ELCKENXX02,S2D1,2035,0.11
GLOBAL,ELCKENXX02,S2D1,2036,0.11
GLOBAL,ELCKENXX02,S2D1,2037,0.11
GLOBAL,ELCKENXX02,S2D1,2038,0.11
GLOBAL,ELCKENXX02,S2D1,2039,0.11
GLOBAL,ELCKENXX02,S2D1,2040,0.11
GLOBAL,ELCKENXX02,S2D1,2041,0.11
GLOBAL,ELCKENXX02,S2D1,2042,0.11
GLOBAL,ELCKENXX02,S2D1,2043,0.11
GLOBAL,ELCKENXX02,S2D1,2044,0.11
GLOBAL,ELCKENXX02,S2D1,2045,0.11
GLOBAL,ELCKENXX02,S2D1,2046,0.11
GLOBAL,ELCKENXX02,S2D1,2047,0.11
GLOBAL,ELCKENXX02,S2D1,2048,0.11
GLOBAL,ELCKENXX02,S2D1,2049,0.11
GLOBAL,ELCKENXX02,S2D1,2050,0.11
GLOBAL,ELCTZAXX02,S2D1,2021,0.1
GLOBAL,ELCTZAXX02,S2D1,2022,0.1
GLOBAL,ELCTZAXX02,S2D1,2023,0.1
GLOBAL,ELCTZAXX02,S2D1,2024,0.1
GLOBAL,ELCTZAXX02,S2D1,2025,0.1
GLOBAL,ELCTZAXX02,S2D1,2026,0.1
GLOBAL,ELCTZAXX02,S2D1,2027,0.1
GLOBAL,ELCTZAXX02,S2D1,2028,0.1
GLOBAL,ELCTZAXX02,S2D1,2029,0.1
GLOBAL,ELCTZAXX02,S2D1,2030,0.1
GLOBAL,ELCTZAXX02,S2D1,2031,0.1
GLOBAL,ELCTZAXX02,S2D1,2032,0.1
GLOBAL,ELCTZAXX02,S2D1,2033,0.1
GLOBAL,ELCTZAXX02,S2D1,2034,0.1
GLOBAL,ELCTZAXX02,S2D1,2035,0.1
GLOBAL,ELCTZAXX02,S2D1,2036,0.1
GLOBAL,ELCTZAXX02,S2D1,2037,0.1
GLOBAL,ELCTZAXX02,S2D1,2038,0.1
GLOBAL,ELCTZAXX02,S2D1,2039,0.1
GLOBAL,ELCTZAXX02,S2D1,2040,0.1
GLOBAL,ELCTZAXX02,S2D1,2041,0.1
GLOBAL,ELCTZAXX02,S2D1,2042,0.1
GLOBAL,ELCTZAXX02,S2D1,2043,0.1
GLOBAL,ELCTZAXX02,S2D1,2044,0.1
GLOBAL,ELCTZAXX02,S2D1,2045,0.1
GLOBAL,ELCTZAXX02,S2D1,2046,0.1
GLOBAL,ELCTZAXX02,S2D1,2047,0.1
GLOBAL,ELCTZAXX02,S2D1,2048,0.1
GLOBAL,ELCTZAXX02,S2D1,2049,0.1
GLOBAL,ELCTZAXX02,S2D1,2050,0.1
GLOBAL,ELCKENXX02,S2D2,2021,0.12
GLOBAL,ELCKENXX02,S2D2,2022,0.12
GLOBAL,ELCKENXX02,S2D2,2023,0.12
GLOBAL,ELCKENXX02,S2D2,2024,0.12
GLOBAL,ELCKENXX02,S2D2,2025,0.12
GLOBAL,ELCKENXX02,S2D2,2026,0.12
GLOBAL,ELCKENXX02,S2D2,2027,0.12
GLOBAL,ELCKENXX02,S2D2,2028,0.12
GLOBAL,ELCKENXX02,S2D2,2029,0.12
GLOBAL,ELCKENXX02,S2D2,2030,0.12
GLOBAL,ELCKENXX02,S2D2,2031,0.12
GLOBAL,ELCKENXX02,S2D2,2032,0.12
GLOBAL,ELCKENXX02,S2D2,2033,0.12
GLOBAL,ELCKENXX02,S2D2,2034,0.12
GLOBAL,ELCKENXX02,S2D2,2035,0.12
GLOBAL,ELCKENXX02,S2D2,2036,0.12
GLOBAL,ELCKENXX02,S2D2,2037,0.12
GLOBAL,ELCKENXX02,S2D2,2038,0.12
GLOBAL,ELCKENXX02,S2D2,2039,0.12
GLOBAL,ELCKENXX02,S2D2,2040,0.12
GLOBAL,ELCKENXX02,S2D2,2041,0.12
GLOBAL,ELCKENXX02,S2D2,2042,0.12
GLOBAL,ELCKENXX02,S2D2,2043,0.12
GLOBAL,ELCKENXX02,S2D2,2044,0.12
GLOBAL,ELCKENXX02,S2D2,2045,0.12
GLOBAL,ELCKENXX02,S2D2,2046,0.12
GLOBAL,ELCKENXX02,S2D2,2047,0.12
GLOBAL,ELCKENXX02,S2D2,2048,0.12
GLOBAL,ELCKENXX02,S2D2,2049,0.12
GLOBAL,ELCKENXX02,S2D2,2050,0.12
GLOBAL,ELCTZAXX02,S2D2,2021,0.12
GLOBAL,ELCTZAXX02,S2D2,2022,0.12
GLOBAL,ELCTZAXX02,S2D2,2023,0.12
GLOBAL,ELCTZAXX02,S2D2,2024,0.12
GLOBAL,ELCTZAXX02,S2D2,2025,0.12
GLOBAL,ELCTZAXX02,S2D2,2026,0.12
GLOBAL,ELCTZAXX02,S2D2,2027,0.12
GLOBAL,ELCTZAXX02,S2D2,2028,0.12
GLOBAL,ELCTZAXX02,S2D2,2029,0.12
GLOBAL,ELCTZAXX02,S2D2,2030,0.12
GLOBAL,ELCTZAXX02,S2D2,2031,0.12
GLOBAL,ELCTZAXX02,S2D2,2032,0.12
GLOBAL,ELCTZAXX02,S2D2,2033,0.12
GLOBAL,ELCTZAXX02,S2D2,2034,0.12
GLOBAL,ELCTZAXX02,S2D2,2035,0.12
GLOBAL,ELCTZAXX02,S2D2,2036,0.12
GLOBAL,ELCTZAXX02,S2D2,2037,0.12
GLOBAL,ELCTZAXX02,S2D2,2038,0.12
GLOBAL,ELCTZAXX02,S2D2,2039,0.12
GLOBAL,ELCTZAXX02,S2D2,2040,0.12
GLOBAL,ELCTZAXX02,S2D2,2041,0.12
GLOBAL,ELCTZAXX02,S2D2,2042,0.12
GLOBAL,ELCTZAXX02,S2D2,2043,0.12
GLOBAL,ELCTZAXX02,S2D2,2044,0.12
GLOBAL,ELCTZAXX02,S2D2,2045,0.12
GLOBAL,ELCTZAXX02,S2D2,2046,0.12
GLOBAL,ELCTZAXX02,S2D2,2047,0.12
GLOBAL,ELCTZAXX02,S2D2,2048,0.12
GLOBAL,ELCTZAXX02,S2D2,2049,0.12
GLOBAL,ELCTZAXX02,S2D2,2050,0.12
GLOBAL,ELCKENXX02,S2D3,2021,0.1
GLOBAL,ELCKENXX02,S2D3,2022,0.1
GLOBAL,ELCKENXX02,S2D3,2023,0.1
GLOBAL,ELCKENXX02,S2D3,2024,0.1
GLOBAL,ELCKENXX02,S2D3,2025,0.1
GLOBAL,ELCKENXX02,S2D3,2026,0.1
GLOBAL,ELCKENXX02,S2D3,2027,0.1
GLOBAL,ELCKENXX02,S2D3,2028,0.1
GLOBAL,ELCKENXX02,S2D3,2029,0.1
GLOBAL,ELCKENXX02,S2D3,2030,0.1
GLOBAL,ELCKENXX02,S2D3,2031,0.1
GLOBAL,ELCKENXX02,S2D3,2032,0.1
GLOBAL,ELCKENXX02,S2D3,2033,0.1
GLOBAL,ELCKENXX02,S2D3,2034,0.1
GLOBAL,ELCKENXX02,S2D3,2035,0.1
GLOBAL,ELCKENXX02,S2D3,2036,0.1
GLOBAL,ELCKENXX02,S2D3,2037,0.1
GLOBAL,ELCKENXX02,S2D3,2038,0.1
GLOBAL,ELCKENXX02,S2D3,2039,0.1
GLOBAL,ELCKENXX02,S2D3,2040,0.1
GLOBAL,ELCKENXX02,S2D3,2041,0.1
GLOBAL,ELCKENXX02,S2D3,2042,0.1
GLOBAL,ELCKENXX02,S2D3,2043,0.1
GLOBAL,ELCKENXX02,S2D3,2044,0.1
GLOBAL,ELCKENXX02,S2D3,2045,0.1
GLOBAL,ELCKENXX02,S2D3,2046,0.1
GLOBAL,ELCKENXX02,S2D3,2047,0.1
GLOBAL,ELCKENXX02,S2D3,2048,0.1
GLOBAL,ELCKENXX02,S2D3,2049,0.1
GLOBAL,ELCKENXX02,S2D3,2050,0.1
GLOBAL,ELCTZAXX02,S2D3,2021,0.1
GLOBAL,ELCTZAXX02,S2D3,2022,0.1
GLOBAL,ELCTZAXX02,S2D3,2023,0.1
GLOBAL,ELCTZAXX02,S2D3,2024,0.1
GLOBAL,ELCTZAXX02,S2D3,2025,0.1
GLOBAL,ELCTZAXX02,S2D3,2026,0.1
GLOBAL,ELCTZAXX02,S2D3,2027,0.1
GLOBAL,ELCTZAXX02,S2D3,2028,0.1
GLOBAL,ELCTZAXX02,S2D3,2029,0.1
GLOBAL,ELCTZAXX02,S2D3,2030,0.1
GLOBAL,ELCTZAXX02,S2D3,2031,0.1
GLOBAL,ELCTZAXX02,S2D3,2032,0.1
GLOBAL,ELCTZAXX02,S2D3,2033,0.1
GLOBAL,ELCTZAXX02,S2D3,2034,0.1
GLOBAL,ELCTZAXX02,S2D3,2035,0.1
GLOBAL,ELCTZAXX02,S2D3,2036,0.1
GLOBAL,ELCTZAXX02,S2D3,2037,0.1
GLOBAL,ELCTZAXX02,S2D3,2038,0.1
GLOBAL,ELCTZAXX02,S2D3,2039,0.1
GLOBAL,ELCTZAXX02,S2D3,2040,0.1
GLOBAL,ELCTZAXX02,S2D3,2041,0.1
GLOBAL,ELCTZAXX02,S2D3,2042,0.1
GLOBAL,ELCTZAXX02,S2D3,2043,0.1
GLOBAL,ELCTZAXX02,S2D3,2044,0.1
GLOBAL,ELCTZAXX02,S2D3,2045,0.1
GLOBAL,ELCTZAXX02,S2D3,2046,0.1
GLOBAL,ELCTZAXX02,S2D3,2047,0.1
GLOBAL,ELCTZAXX02,S2D3,2048,0.1
GLOBAL,ELCTZAXX02,S2D3,2049,0.1
GLOBAL,ELCTZAXX02,S2D3,2050,0.1
GLOBAL,ELCKENXX02,S3D1,2021,0.12
GLOBAL,ELCKENXX02,S3D1,2022,0.12
GLOBAL,ELCKENXX02,S3D1,2023,0.12
GLOBAL,ELCKENXX02,S3D1,2024,0.12
GLOBAL,ELCKENXX02,S3D1,2025,0.12
GLOBAL,ELCKENXX02,S3D1,2026,0.12
GLOBAL,ELCKENXX02,S3D1,2027,0.12
GLOBAL,ELCKENXX02,S3D1,2028,0.12
GLOBAL,ELCKENXX02,S3D1,2029,0.12
GLOBAL,ELCKENXX02,S3D1,2030,0.12
GLOBAL,ELCKENXX02,S3D1,2031,0.12
GLOBAL,ELCKENXX02,S3D1,2032,0.12
GLOBAL,ELCKENXX02,S3D1,2033,0.12
GLOBAL,ELCKENXX02,S3D1,2034,0.12
GLOBAL,ELCKENXX02,S3D1,2035,0.12
GLOBAL,ELCKENXX02,S3D1,2036,0.12
GLOBAL,ELCKENXX02,S3D1,2037,0.12
GLOBAL,ELCKENXX02,S3D1,2038,0.12
GLOBAL,ELCKENXX02,S3D1,2039,0.12
GLOBAL,ELCKENXX02,S3D1,2040,0.12
GLOBAL,ELCKENXX02,S3D1,2041,0.12
GLOBAL,ELCKENXX02,S3D1,2042,0.12
GLOBAL,ELCKENXX02,S3D1,2043,0.12
GLOBAL,ELCKENXX02,S3D1,2044,0.12
GLOBAL,ELCKENXX02,S3D1,2045,0.12
GLOBAL,ELCKENXX02,S3D1,2046,0.12
GLOBAL,ELCKENXX02,S3D1,2047,0.12
GLOBAL,ELCKENXX02,S3D1,2048,0.12
GLOBAL,ELCKENXX02,S3D1,2049,0.12
GLOBAL,ELCKENXX02,S3D1,2050,0.12
GLOBAL,ELCTZAXX02,S3D1,2021,0.11
GLOBAL,ELCTZAXX02,S3D1,2022,0.11
GLOBAL,ELCTZAXX02,S3D1,2023,0.11
GLOBAL,ELCTZAXX02,S3D1,2024,0.11
GLOBAL,ELCTZAXX02,S3D1,2025,0.11
GLOBAL,ELCTZAXX02,S3D1,2026,0.11
GLOBAL,ELCTZAXX02,S3D1,2027,0.11
GLOBAL,ELCTZAXX02,S3D1,2028,0.11
GLOBAL,ELCTZAXX02,S3D1,2029,0.11
GLOBAL,ELCTZAXX02,S3D1,2030,0.11
GLOBAL,ELCTZAXX02,S3D1,2031,0.11
GLOBAL,ELCTZAXX02,S3D1,2032,0.11
GLOBAL,ELCTZAXX02,S3D1,2033,0.11
GLOBAL,ELCTZAXX02,S3D1,2034,0.11
GLOBAL,ELCTZAXX02,S3D1,2035,0.11
GLOBAL,ELCTZAXX02,S3D1,2036,0.11
GLOBAL,ELCTZAXX02,S3D1,2037,0.11
GLOBAL,ELCTZAXX02,S3D1,2038,0.11
GLOBAL,ELCTZAXX02,S3D1,2039,0.11
GLOBAL,ELCTZAXX02,S3D1,2040,0.11
GLOBAL,ELCTZAXX02,S3D1,2041,0.11
GLOBAL,ELCTZAXX02,S3D1,2042,0.11
GLOBAL,ELCTZAXX02,S3D1,2043,0.11
