REGION,TECHNOLOGY,VALUE
GLOBAL,PWRBIOTZAXX01,30
GLOBAL,PWRCSPTZAXX01,30
GLOBAL,PWRWASTZAXX01,30
GLOBAL,PWRCCGKENXX00,30
GLOBAL,PWRCOGTZAXX01,30
GLOBAL,PWRPETTZAXX01,30
GLOBAL,PWRCCSTZAXX01,30
GLOBAL,PWROTHTZAXX01,30
GLOBAL,PWRSPVKENXX01,30
GLOBAL,PWRSPVTZAXX01,30
GLOBAL,PWRWAVKENXX01,20
GLOBAL,PWRWASKENXX01,30
GLOBAL,PWRCCGTZAXX01,30
GLOBAL,PWROCGKENXX00,30
GLOBAL,PWRBIOKENXX01,30
GLOBAL,PWROCGTZAXX00,30
GLOBAL,PWRCOGKENXX01,30
GLOBAL,PWRWONTZAXX01,30
GLOBAL,PWRWAVTZAXX01,20
GLOBAL,PWRWOFTZAXX01,30
GLOBAL,PWROCGKENXX01,30
GLOBAL,PWRCOATZAXX01,30
GLOBAL,PWRHYDKENXX01,100
GLOBAL,PWRCCGTZAXX00,30
GLOBAL,PWRGEOKENXX01,30
GLOBAL,PWRCSPKENXX01,30
GLOBAL,PWRCCGKENXX01,30
GLOBAL,PWRGEOTZAXX01,30
GLOBAL,PWROILTZAXX01,30
GLOBAL,PWRCCSKENXX01,30
GLOBAL,PWROTHKENXX01,30
GLOBAL,PWROCGTZAXX01,30
GLOBAL,PWRCOAKENXX01,30
GLOBAL,PWROILKENXX01,30
GLOBAL,PWRURNTZAXX01,60
GLOBAL,PWRHYDTZAXX01,100
GLOBAL,PWRURNKENXX01,60
GLOBAL,PWRPETKENXX01,30
GLOBAL,PWRWONKENXX01,30
GLOBAL,PWRWOFKENXX01,30
GLOBAL,TRNKENXXTZAXX,60
