REGION,COUNTRY,YEAR,VALUE
GLOBAL,KEN,2021,42.18705545386467
GLOBAL,KEN,2022,46.78904499025644
GLOBAL,KEN,2023,40.04828679421514
GLOBAL,KEN,2024,37.8431175322703
GLOBAL,KEN,2025,37.26999691974115
GLOBAL,KEN,2026,34.39623917199938
GLOBAL,KEN,2027,34.490963463030155
GLOBAL,KEN,2028,25.27598141121654
GLOBAL,KEN,2029,21.790978070011445
GLOBAL,KEN,2030,19.636202060247157
GLOBAL,KEN,2031,17.79853622378644
GLOBAL,KEN,2032,19.860641536225916
GLOBAL,KEN,2033,14.351525816995863
GLOBAL,KEN,2034,23.760049447385935
GLOBAL,KEN,2035,9.434741825030004
GLOBAL,KEN,2036,8.332460539893594
GLOBAL,KEN,2037,7.1366446564808586
GLOBAL,KEN,2038,6.134933070405815
GLOBAL,KEN,2039,5.2740616559126865
GLOBAL,KEN,2040,4.662629035067254
GLOBAL,KEN,2041,4.351806591689099
GLOBAL,KEN,2042,3.824906615094398
GLOBAL,KEN,2043,3.3554298377464042
GLOBAL,KEN,2044,2.809883246135657
GLOBAL,KEN,2045,2.8584454790153195
GLOBAL,KEN,2046,2.892205635316838
GLOBAL,KEN,2047,1.9481636503183655
GLOBAL,KEN,2048,1.69811387046216
GLOBAL,KEN,2049,1.376411814617325
GLOBAL,KEN,2050,1.1322882348115235
GLOBAL,TZA,2021,419.0521213085202
GLOBAL,TZA,2022,55.53769004832917
GLOBAL,TZA,2023,47.07808614612947
GLOBAL,TZA,2024,37.61157379081271
GLOBAL,TZA,2025,33.822303978728606
GLOBAL,TZA,2026,32.3835022685067
GLOBAL,TZA,2027,27.566678878495864
GLOBAL,TZA,2028,23.64899547350748
GLOBAL,TZA,2029,20.353371039578974
GLOBAL,TZA,2030,16.847235681103168
GLOBAL,TZA,2031,16.904205588246985
GLOBAL,TZA,2032,14.93628544510221
GLOBAL,TZA,2033,13.486201199218335
GLOBAL,TZA,2034,10.698038005181646
GLOBAL,TZA,2035,9.213856717535801
GLOBAL,TZA,2036,8.767390104854963
GLOBAL,TZA,2037,7.500445941904497
GLOBAL,TZA,2038,6.422580229408916
GLOBAL,TZA,2039,5.512323088287388
GLOBAL,TZA,2040,4.730784904589765
GLOBAL,TZA,2041,4.431686788115383
GLOBAL,TZA,2042,3.7887092485422933
GLOBAL,TZA,2043,3.2304251599715674
GLOBAL,TZA,2044,2.753072834712841
GLOBAL,TZA,2045,2.3403221442482693
GLOBAL,TZA,2046,2.1486206888725934
GLOBAL,TZA,2047,1.7868913571778096
GLOBAL,TZA,2048,1.4764973754842075
GLOBAL,TZA,2049,1.209434703544696
GLOBAL,TZA,2050,0.9904575823195935
