REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
GLOBAL,PWRHYDINDEA01,S1D1,2021,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2022,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2023,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2024,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2025,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2026,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2027,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2028,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2029,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2030,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2031,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2032,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2033,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2034,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2035,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2036,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2037,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2038,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2039,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2040,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2041,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2042,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2043,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2044,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2045,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2046,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2047,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2048,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2049,0.2115
GLOBAL,PWRHYDINDEA01,S1D1,2050,0.2115
GLOBAL,PWRHYDINDNE01,S1D1,2021,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2022,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2023,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2024,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2025,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2026,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2027,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2028,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2029,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2030,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2031,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2032,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2033,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2034,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2035,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2036,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2037,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2038,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2039,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2040,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2041,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2042,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2043,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2044,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2045,0.3038
GLOBAL,PWRHYDINDNE01,S1D1,2046,0.3038
